ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060793958881097,72060793958881097,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881097,72060793958881097,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881097,72060793958881097,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881097,72060793958881097,EQ,,,,TOOL KIT GENERAL ME,102,,T28688,A,0,0,0,0,0,1,23-Mar-2026
72060793958881097,72060793958881097,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881098,72060793958881096,CR,,,,Truck: Light Medium Tactical Vehicle (LMTV),102,,,,0,0,1,1,0,0,23-Mar-2026
72060793958881099,72060793958881098,BL,,,,Wheeled Vehicle Mechanic,102,E-4,91B1O,,0,0,1,1,0,0,23-Mar-2026
72060793958881099,72060793958881099,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881099,72060793958881099,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881099,72060793958881099,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881099,72060793958881099,EQ,,,,TOOL KIT GENERAL ME,102,,T28688,A,0,0,0,0,0,1,23-Mar-2026
72060793958881099,72060793958881099,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881098,72060793958881098,EQ,,,,NIGHT VIS G AN/PVS-7A,102,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881098,72060793958881098,EQ,,,,TRK CG M1078A1P2 WO/W,102,,T59448,A,0,0,0,0,0,1,23-Mar-2026
72060793958881098,72060793958881098,EQ,,,,RADIO SET AN/VRC-90F,102,,R68044,A,0,0,0,0,0,1,23-Mar-2026
72060793958881101,72060793958881096,BL,,,,Utilities Equipment Repairer,102,E-4,91C1O,,0,0,1,1,0,0,23-Mar-2026
